City,County,Name,Phone,Street1
Little Rock,Pulaski,Wellpath-Central Arkansas Center,501-686-9800,4823 West 7th
Wrightsville,Pulaski,Wellpath-Wrightsville,501-897-5806,8400 Hwy 386
Pine Blufff,Jefferson,Wellpath - Pine Bluff unit,870-267-6510,890 freeline dr
Texarkana,Miller,Wellpath - Texarkana Regional,870-779-1222,305 East 5th St
Pine Bluff,Jefferson,ADC Wellpath- Princeton Pike,870-267-6291,6814 Princeton Pike
Tucker,Jefferson,Wellpath - Tucker,870-850-8899,2400 State Farm Rd
Malvern,Hot Spring,Wellpath - Ouchita River unit,501-467-3400,100 Walco Dr
Malvern,Hot Spring,Wellpath - Omega,501-467-3041,104 WAlco Dr
Springdale,Washington,Wellpath- Northwest Work Release,479-756-2037,600 West Sunset
Fayetteville,Washington,Wellpath - NorthwestArkansas Community Corrections,479-695-3428,114 N College St
Osceola,Mississippi,Wellpath - Northeast Arkansas Community Corrections,870-563-8330,1351 Cyro Rd
Calico Rock,Izard,Wellpath - North Central Unit,870-297-4311,10 Prison Circle
Texarkana,Miller,Wellpath- Southwest Arkansas Community Corrections,870-779-2036,506 Walnut st
Little Rock,Pulaski,Little Rock Eye Clinic,501-224-5658,201 Executive Court
Russellville,Pope,C & D Drug Store,479-968-2456,121 N Commerce Ave
Little Rock,Pulaski,"Little Rock Children's Clinic, P.A.",501-227-6727,9600 Baptist Health Drive
Holiday Island,Carroll,Holiday Island Pharmacy,479-239-2121,2 Forest Park Drive
De Queen,Sevier,Lansdell Family Clinic- DeQueen,870-584-1055,500 E. Collin Raye Dr.
Lockesburg,Sevier,Lansdell Family Clinic- Lockesburg,870-289-2076,101 W. Main St.
Dierks,Sevier,Lansdell Family Clinic- dierks,870-286-2128,1124 Main Ave
Texarkana,Miller,"Lansdell Family Clinic-Texarkana, AR",870-330-4385,3809 E. 9th St
Searcy,White,Harding University College of Pharmacy,501-279-5459,803 E. Park
BENTONVILLE,Benton,THE CLINIC AT COMMERCE CENTRE,479-273-2228,301SOUTHWEST 16TH STREET
Searcy,White,Stotts Drug Co. Inc.,501-268-2536,103 W. Arch Ave
Pine Bluff,Jefferson,Fresenius Medical Care Pine Bluff Dialysis,870-536-8050,2910 Market st
Helena,Phillips,"Phillips Hospital Company, LLC d/b/a Helena Regional Medic",870-338-5800,1801 Martin Luther King Drive
Little Rock,Pulaski,Fresenius Kidney Care East Little Rock Dialysis,501-660-7867,5320 West 12 th Street
Little Rock,Pulaski,"Nephropathology Associates, PLC dba. Arkana Laboratories",501-604-2695,10810 Executive Center Drive
Marion,Crittenden,Marion Minor Medical,870-559-2314,136 Block St
vilonia,Faulkner,VILONIA FAMILY PHARMACY,501-796-2204,1122 main st
Danville,Yell,John Ed Chambers Memorial Hospital,479-495-2241,719 Detroit
Van Buren,Crawford,"Barlow Pharmacies, Inc dba Pharmacy Express",479-474-7171,1515 Fayetteville Rd
Little Rock,Pulaski,Cornerstone Specialty Hospitals Little Rock,501-515-2292,2 St. Vincent Drive (6th Floor)
Little Rock,Pulaski,Hillcrest Family Practice Clinic,501-664-0769,4601 Woodlawn Dr
Hot Springs,Garland,Genoa Healthcare 00109,501-762-8919,125 Wellness Way
Springdale,Washington,Genoa Healthcare 00068,479-419-9285,2400 S. 48th St
Texarkana,Miller,Genoa Healthcare 20091,870-397-8985,2904 Arkansas Blvd
El Dorado,Pulaski,Genoa Healthcare 20160,870-639-6227,715 North College Ave
Little Rock,Union,Genoa Healthcare 20142,501-859-0472,10025 West Markham
Fort Smith,Sebastian,Genoa Healthcare 20010,479-755-2652,3111 S. 70th St
Fayetteville,Washington,McDonald Eye Associates,479-521-2555,3689 N. Steele Blvd
ROGERS,Benton,OCH BENTON COUNTY CLINIC,479-278-7189,102 RUSSELL ROAD
GRAVETTE,Benton,OCH GRAVETTE CLINIC,479-787-5221,1101 JACKSON ST SW
GRAVETTE,Benton,OZARK COMMUNITY HOSPITAL,479-787-5291,1101 JACKSON ST SW
Blytheville,Mississippi,Rose Pharmacy,870-762-4545,1003 N. 6th St
Fayetteville,Washington,TruHealth Family Care,479-527-9966,2630 E. Citizens Drive
Cabot,Lonoke,Cabot Emergency Hospital,501-333-9110,212 Willie Ray Dr
Fort Smith,Sebastian,Pediatric Partners,479-478-7200,7303 Rogers Ave
marion,Crittenden,Marion Family Pharmacy,870-739-1111,134 block st
Star City,Lincoln,Mainline Health Systems Star City Clinic,870-628-5110,110 North Drew St
Warren,Bradley,Mainline Health Systems Warren Clinic,870-226-6786,1012 East Church St
Dermott,Chicot,Mainline Health Systems Dermott Clinic,870-538-5296,300 S. School St
Eudora,Chicot,Mainline Health Systems Eudora Clinic,870-355-2512,579 E. Beouff St
Portland,Ashley,Mainline Health Systems Portland Clinic,870-737-2221,233 N. Main St
Monticello,Drew,Mainline Health Systems UAM Clinic,870-367-6246,136 University Court
Wilmot,Ashley,Mainline Health Systems,870-473-2274,203 McComb St
Monticello,Drew,Mainline Health Systems Monticello Clinic,870-367-6246,535 Jordan Drive
Rison,Cleveland,Mainline Health Systems,870-325-6255,505 Sycamore St
Hope,Hempstead,Wadley Regional Medical Center At Hope,870-722-3800,2001 S. Main Street
Little Rock,Pulaski,Arkansas Otolaryngology Center,501-227-5050,10201 Kanis Rd
North Little Rock,Pulaski,Medicine Man Pharmacy JFK,501-907-2095,5308 JFK Blvd
Benton,Saline,Central AR Pediatric Clinic,501-847-2500,2301 Springhill Rd.
Cabot,Lonoke,Greystone Rx,501-286-6054,15361 Hwy 5
WYNNE,Cross,WYNNE APOTHECARY,870-238-8511,411 S FALLS BLVD
Paragould,Greene,Walden Drug,870-236-6118,3104 W Kingshighway
Viola,Fulton,Pharmacy Barn LLC,870-900-1001,9746 Hwy 62 West
Fort Smith,Sebastian,Good Samartian Clinic,479-783-0233,615 North B Street
PARAGOULD,Greene,MCHANEY DRUG,870-236-3180,1400 WEST HUNT STREET
Marked Tree,Poinsett,Family Care Pharmacy,870-358-2484,98 Hwy 63 B suite A
Little Rock,Pulaski,Mobiile Health Screenings Inc,901-335-1782,2100 Riverdale
Conway,Faulkner,Smith Family Pharmacy,501-336-8188,2425 Dave Ward Drive
Dardanelle,Yell,Dardanelle Regional Medical Center,479-229-4677,200 N 3rd St
Crossett,Ashley,"Baker's Pharmacy, Inc.",870-364-5155,300 Main street
Gentry,Benton,"Smith Drug, PLLC",479-736-2241,695 E Third St
Jacksonville,Pulaski,Cornerstone Pharmacy Jacksonville,501-982-6979,315 S James St
Horseshoe Bend,Izard,Horseshoe Health & Medicine,870-670-4580,600 Market St
Rogers,Benton,Everest Rehabilitation Hospital of NWA,479-341-4003,4313 S. Pleasant Grove Crossing Blvd
Little Rock,Pulaski,SMA Medicine & Nephrology Clinic,501-603-9277,1515 Kanis Park Drive
Searcy,White,"Stan-Kel Pharmacies, Inc.",501-305-1000,2007 West Beebe Capps Exp.
Bentonville,Benton,"Infinity Compounding Solutions, LLC dBa Infinity Care Solu",888-414-5805,1204 SE 28th St.
Marianna,Lee,Lee County Cooperative Clinic,870-295-5225,530 West Atkins Blvd
Little Rock,Pulaski,Arkansas Children's Hospital - West Little Rock Clinic,501-364-1869,16101 Cantrell Road
Little Rock,Pulaski,Arkansas Children's Hospital,501-364-1287,1 Children's Way
Jonesboro,Craighead,Arkansas Children's Hospital - Jonesboro Clinic,870-251-8925,520 Carson Street
Little Rock,Pulaski,Arkansas Children's Hospital - Southwest Little Rock Clini,501-214-9129,9015 Daily Drive
Walnut Ridge,Lawrence,Rogers Pharmacy,870-886-5700,221 SW 2nd St.
Springdale,Washington,Arkansas Children's Northwest,479-725-6844,2601 Gene George Blvd
Harrison,Boone,"Hometown Doc, PA",870-399-0077,1014 N Spring St
Little Rock,Pulaski,DCI-Little Rock,501-227-0983,1910 John Barrow Road
Fayetteville,Washington,Vantage Point of Northwest Arkansas,479-521-5731,4253 N. Crossover Road
HIGHLAND,Sharp,"DAVIDSON DRUG,  LLC",870-955-1022,1238A HIGHWAY 62/412
conway,Faulkner,valley health services,501-513-1225,1545 hogan lane
Blytheville,Mississippi,Great River Medical Center,870-838-7181,1520 North Division Street
Osceola,Mississippi,South Mississippi County Regional Medical Center,870-563-7000,611 West Lee Avenue
Murfreesboro,Pike,Peoples Pharmacy,870-285-2111,317 East 13th Street
Atkins,Pope,Atkins Family Pharmacy,479-641-7878,1601 B North Church Street
arkadelphia,Clark,Robert A Dorman MD,870-246-6766,2850 twin rivers dr
Fayetteville,Washington,Arkansas Outpatient Eye Surgery,479-249-6006,3689 N Steele Blvd
Pocahontas,Randolph,St Bernards Five Rivers Medical Center,870-892-6217,2801 Medical Center Drive - Hwy 90 & Country Club Rd
Siloam Springs,Benton,Siloam Springs Regional Hospital,479-215-3000,603 N Progress Ave
Searcy,White,Stanley Pharmacy Compounding Center,501-305-4108,2413 West Beebe Capps Exp
Johnson,Washington,Northwest Medical Center- Willow Creek Women's Hospital,479-684-3000,4301 Greathouse Springs Road
Little Rock,Pulaski,Freiderica Pharmacy,501-374-2207,400 West Capitol Ave
Piggott,Clay,Piggott Community Hospital,870-598-3881,1206 Gordon Duckworth Dr
Camden,Ouachita,Dan Martin MD,870-836-6627,476 Hospital Dr
Mountain Home,Baxter,"Regional Family Medicine PA, East",870-425-6971,630 Burnett Dr.
Mountain Home,Baxter,"Regional Family Medicine PA, Main",870-425-6971,630 Burnett Dr.
Forrest City,St. Francis,"Brandy Davis, MD PA",870-494-4000,904 Holiday Dr
Heber Springs,Cleburne,ReedHutchins Pharmacy,501-270-8888,408 W. Main St.
Harrison,Boone,Chris W. Taylor,870-741-1616,1425 Rock Springs Road
JONESBORO,Craighead,GIBSONS PHARMACY OF CRAIGHEAD COUNTY,870-972-9125,403 EAST MATTHEWS AVENUE
Calico Rock,Izard,Izard County Medical Center,870-297-3726,61 Grasse Street
Walnut Ridge,Lawrence,FAMILY MED CENTER-Lawrence Memorial Hospital,870-886-3211,1309 W Main St
WALNUT RIDGE,Lawrence,LAWRENCE MEMORIAL HOSPITAL,870-886-1200,1309 W MAIN
JONESBORO,Craighead,NEA PHARMACEUTICALS DBA PARKER ROAD SPECIALITY PHARMACY,870-935-6400,1109 W PARKER ROAD
Forrest City,St. Francis,Forrest City Medical Center,870-261-0125,1601 Newcastle Road
Fayetteville,Washington,NW Health Physician's Specialty Hospital,479-575-7070,3873 Parkview Dr
Little Rock,Pulaski,Arkansas Plastic Surgery,501-219-8388,9500 Kanis Road
Bryant,Saline,Baptist Health Urgent Care- Bryant,501-205-7020,3304 Commonwealth Drive
Benton,Saline,Baptist Health Urgent Care- Benton,501-205-7020,824 Military Road
Magnolia,Columbia,College Pharmacy Inc. dba Prince Pharmacy,870-234-7292,211 East Stadium
ROGERS,Benton,OZARK PEDIATRICS PLLC,479-544-9432,5507 W WALSH LN STE 101
Fort Smith,Sebastian,Baptist Health Urgent Care,479-226-8340,7600 Rogers Ave
Harrison,Boone,Urgent Team of Arkansas Physicians LLC,870-204-7263,808 US 65-62
Hot Springs,Garland,Sherwood Urgent Care- Hot Springs,501-547-9481,201 Airport Road
Little Rock,Pulaski,Baptist Urgent Care- Little Rock,501-260-7992,6805 Cantrell
Lonoke,Lonoke,Sherwood Urgent Care- Lonoke,501-676-6560,1306 North Center St.
Maumelle,Pulaski,"Urgent Team of Arkansas Physicians, LLC",501-803-9481,"123 Audubon Dr., Suite 600"
North Little Rock,Pulaski,Baptist Health Urgent Care - North Little Rock,501-214-7177,3550 Springhill Dr
Clarksville,Johnson,Rose Drug of Clarksville,479-754-2180,211 E. Main St
Cabot,Lonoke,Baptist Health Urgent Care,501-628-9215,402 W Main
Quitman,Cleburne,Sherwood Urgent Care - Quitman,501-365-1059,6134 Heber Springs Rd
Rogers,Benton,"Urgent Team of Arkansas Physicians, LLC",479-326-8525,2301 W Pleasant Grove Rd
Conway,Faulkner,Conway Behavioral Health,501-205-0011,2255 Sturgis Road
Searcy,White,Sherwood Urgent Care - Searcy,501-268-6831,610 Shepherd Way
MARION,Crittenden,"MID-SOUTH RENAL CLINIC,PLC",870-733-1177,1120 STATE HWY 77
Springdale,Washington,Urgent Team of Arkansas Physicans LLC,479-717-7089,3300 W Sunset Ave
Little Rock,Pulaski,Baptist Urgent Care- West Little Rock,501-482-3074,14524 Cantrell
Little Rock,Pulaski,Smith's Country Club Drug Store,501-663-4118,5114 Kavanaugh Blvd
Mayflower,Faulkner,Mayflower Family Pharmacy,501-470-9898,616 B HWY 365
Clarksville,Johnson,Johnson Regional Medical Center,479-754-5554,1100 East Poplar
Van Buren,Crawford,Baptist Health Van Buren,479-471-4395,East Main and South 20th
Salem,Fulton,Fulton County Hospital,870-895-2691,679 N. Main
Eureka Springs,Carroll,Eureka Springs hospital,479-253-7400,24 Norris Street
Little Rock,Pulaski,Southwest Family Practice,501-562-1463,6924 Geyer Springs Rd
Bentonville,Benton,Northwest Medical Center - Bentonville,479-553-1000,3000 Medical Center Parkway
Magnolia,Columbia,"Magnolia Regional Health System, Inc dba Magnolia Regional",870-235-3214,101 Hospital Drive
West Memphis,Crittenden,Graham Primary Healthcare,870-394-4387,200 South Rhodes Suite C
Dewitt,Arkansas,"Dewitt Hospital and Nursing Home,INC",870-946-3571,1641 S. Whitehead drive
Hot Springs,Garland,Levi Hospital,501-624-1281,300 Prospect Avenue
Russellville,Pope,"Urgent Team of Arkansas Physicians, LLC",479-567-5652,106 Weir Rd
Little Rock,Arkansas,All For Kids Pediatric  Clinic,501-224-5437,904 Autumn Road
N Little Rock,Pulaski,Cornerstone Pharmacy JFK,501-246-5035,5328 JFK Blvd
dumas,Desha,Delta Memorial Hospital,870-382-4303,811 hwy 65 south
North Little Rock,Pulaski,North Little Rock,501-975-7456,4261 Stockton Dr
Salem,Fulton,Scribner Family Practice Clinic,870-895-3238,115 Tuner Ln
Fayetteville,Washington,Vold Vision,479-442-8653,2783 N. Shiloh Dr.
El Dorado,Union,Life Touch Hospice,870-862-0337,2301 Champagnolle Rd
White Hall,Jefferson,Family Medicine of White Hall,870-850-8055,7245 Sheridan Road
Fordyce,Dallas,Dallas County Medical Center,870-352-6300,201 North Clifton Street
White Hall,Jefferson,Thrive Pediatric Nursing INC,501-353-1422,7197 Sheridan Rd
Marion,Crittenden,Vital Wellness Clinic LLC,870-551-4099,4001 Commercial Center Dr #1
Benton,Saline,FKC Benton Dialysis,501-776-1418,2101 Old Congo Rd
Little Rock,Pulaski,"Radiology Associates, P.A.",501-664-3914,500 S. University
Ashdown,Little River,Domtar Ashdown Mill Health Center,870-898-6000,108 Highway 71 South
Searcy,White,"Providence PCC of Searcy, LLC",501-268-4169,3014 East Moore Ave.
Little Rock,Pulaski,Dr. Smith Direct Care,501-801-1755,11908 Kanis Rd
Cave City,Sharp,"Fore Family Practice, LLC",870-283-5550,307 N Main St
Fort Smith,Sebastian,Premise Health - Fort Smith East,479-434-3431,7215 Cameron Park Dr.
Rogers,Benton,Premise Health Clinic - Nabholz,479-659-7920,3307 N 2nd St
Fort Smith,Sebastian,Premise Health - Rheem Fort Smith,479-242-4290,5600 Old Greenwood Rd.
Fayetteville,Washington,Premise Health - Fayetteville,479-442-9900,2907 E Joyce Blvd
Fort Smith,Sebastian,Premise Health - ArcBest - Fort Smith,479-226-5212,3501 Old Greenwood Rd.
Fort Smith,Sebastian,Premise Health - OK Foods,479-974-1270,4105 Newlon Rd
Fort Smith,Sebastian,"Premise Health - Weldon, Williams, & Lock",479-784-2150,811 N B
Gentry,Benton,Premise Health - McKee Foods Family Health Center,479-326-8670,555 McKee Dr.
Waldron,Scott,Health-Wise Pharmacy - Waldron,479-637-3300,47 Hwy 71 S
Lavaca,Sebastian,Health-Wise Pharmacy,479-674-2222,1800 W Main
Conway,Faulkner,Sherwood Urgent Care- Conway,501-505-8400,222 Dave Ward Dr.
Conway,Faulkner,Sherwood Urgent Care- Conway North,501-499-6222,1065 Skyline Drive
Batesville,Independence,Sherwood Urgent Care - Batesville,870-793-5800,1547 Harrison
Wynne,Cross,Urgent Team Jacobs Clinic,870-238-3261,411 Falls Blvd. S.
Little Rock,Pulaski,STAT Home Health CenArk LLC,501-982-6115,15104 Pride Valley Rd
Jacksonville,Pulaski,"Urgent Team of Arkansas Physicians, LLC",501-241-4510,1813 T.P. White Dr.
Little Rock,Pulaski,Arkansas State Hospital,501-686-9429,4313 West Markham
Paragould,Greene,"City Drug Company, INC.",870-236-8501,1512 Linwood Drive
Fayetteville,Washington,Vantage Point Behavioral Health,479-521-5731,4253 N Crossover Rd
DARDANELLE,Yell,BERRY DRUG OF DARDANELLE,479-229-4811,417 UNION STREET
LITTLE ROCK,Pulaski,PRIMARY CARE OF ARKANSAS,501-666-6100,500 S. UNIVERSITY AVE
Magazine,Logan,County Discount Pharmacy,479-969-2727,48 S. Garland st
Fayetteville,Washington,"Northwest Arkansas Pediatrics, a MANA Clinic",479-443-3471,3383 N MANA Court
Fayetteville,Washington,MANA Urgent Care Wedington,479-442-0006,1188 Salem Road
Springdale,Washington,MANA Family Medicine Springdale,479-750-3630,1109 S West End Street
Springdale,Washington,MANA Family Medicine Har-Ber,479-361-1020,171 N Maestri
Springdale,Washington,MANA Family Medicine Thompson,479-756-1300,4401 S Thompson Street
Prairie Grove,Washington,MANA Family Medicine Prairie Grove,479-267-5600,775 E Douglas
Fayetteville,Washington,"Medical Associates of Northwest Arkansas, P.A.",479-571-6780,3383 N MANA Court
Fayetteville,Washington,MANA Family Medicine North,479-443-3536,3340 N. College
Fayetteville,Washington,MANA Family Medicine South,479-442-2822,2523 Huntsville Road
Rogers,Benton,MANA Family Medicine Pinnacle Hills,479-464-5599,3730 Pinnacle Hills Parkway
Fayetteville,Washington,Northwest Arkansas Rehabilitation Associates,479-444-2200,153 E Monte Painter Drive
Harrison,Boone,Harrison Dilaysis,870-204-6683,1409 Gladden Street
Springdale,Washington,Ridgeview Group Home,479-248-1051,12958 HWY 112
Fayetteville,Washington,Piney Ridge Treatment Center,479-587-1408,2805 E Zion Rd
Springdale,Washington,"Learning and Behavior Solutions, Inc.",479-318-2300,1022 Jones Rd
Centerton,Benton,Reeves Medical Associates,479-224-1565,1415 E Centerton Blvd
Conway,Faulkner,Noydeen Sister's Medical Group,501-209-4040,655 Dave Ward Drive
Greenbrier,Faulkner,American Drugs,501-679-2211,1 East Main
Bentonville,Benton,Urgent Team of Arkansas Physicans LLC,479-367-3078,1301 S Walton Blvd
Jonesboro,Craighead,Arkansas State University,870-972-2054,333 Red Wolfe Blvd.
Jonesboro,Craighead,NEA Baptist Clinic,870-275-2413,4802 E. Johnson Ave
Little Rock,Pulaski,Betton Clinic,501-376-1160,1505 West 11th Street
Harrison,Boone,Sam Alexander Pharmacy,870-741-6511,127 N. Main St.
Lake Village,Chicot,Southeast Rural Health Clinic,870-265-9810,608 Hwy 65 & 82
Lake Village,Chicot,Southeast Rehabilitation Hospital,870-265-4333,905 Borgognoni
Paragould,Greene,"Paragould Family Care, PA",870-236-4001,5 Market Place
Hot Springs,Garland,Harmony Park Family Medicine,501-881-4988,128 Harmony Park Circle
Jonesboro,Craighead,Stone's Pharmacy,870-935-5538,417 E. Matthews Ave
NORTH LITTLE ROCK,Pulaski,ARGENTA DRUG,501-374-4851,324 MAIN ST
Eureka Springs,Carroll,Smith Drug & Company,479-253-6000,133 East Van Buren Street
Forrest City,St. Francis,"James T Meredith, MD PA",870-633-4711,921 Holiday Drive
DeWitt,Arkansas,Tommy's Rexall Drug Co Inc,870-946-4221,220 Court Square
Clinton,Van Buren,Family Practice Center,501-745-2800,194 Shakerag Road
El Dorado,Union,Melvins Discount Pharmacy,870-863-4155,828 W Hillsboro
Stuttgart,Arkansas,Urgent Care of Stuttgart,870-672-0911,1012 B East 22nd St
Benton,Saline,Saline Med Peds Group,501-315-1222,105 McNeil St
Van Buren,Crawford,Sophia Meyer Family Medicine 620 Broadway street Van Buren,479-474-5061,620 Broadway Street
nORTH lITTLE rOCK,Pulaski,Concentra,501-945-0661,3470 LANDERS rD
North Little Rock,Pulaski,Kelli Keene Sanders MD INC,501-753-1881,505 West Pershing Blvd
LITTLE ROCK,Pulaski,MARTIN ORTHOPEDICS,501-975-5633,5320 WEST MARKHAM ST
Fort Smith,Sebastian,Arkansas Colleges of Health Education,479-308-2243,7000 Chad Colley Blvd
Marion,Crittenden,"Phillips Family Healthcare, LLC",870-559-4252,2921 HWY 77 South
Pine Bluff,Jefferson,Super 1 Foods Pharmacy #634,870-534-1380,1605 E. Harding Ave.
Pine Bluff,Jefferson,Super 1 Foods Pharmacy #628,870-247-5854,5805 Dollarway Road
Arkadelphia,Clark,Brookshire Pharmacy #96,870-246-2015,"2800 Pine St, #5 Pine Plaza"
Camden,Ouachita,Brookshire Pharmacy #85,870-836-3324,1345 Hwy 4 Spur SW
Pine Bluff,Jefferson,Super 1 Foods Pharmacy #622,870-535-4044,2800 S. Hazel Street
Crossett,Ashley,Brookshire Pharmacy #82,870-364-8220,1600 Dr. Martin Luther King Jr Drive
Hope,Hempstead,Super One Pharmacy #619,870-777-6989,909 N Hervey
Magnolia,Columbia,Brookshire Pharmacy #81,870-234-7073,1623 E. Main
Ashdown,Little River,Brookshire Pharmacy #62,870-898-5501,1310 S. Constitution Ave
El Dorado,Union,Brookshire Pharmacy #48,870-864-0107,2202 N West Ave
El Dorado,Union,Brookshire Pharmacy #40,870-863-7996,220 S. West Ave.
Hampton,Calhoun,Hampton Medical Pharmacy,870-798-4247,344 South Lee St
Little Rock,Pulaski,Advanced Allergy & Asthma,501-420-1085,500 S University
Searcy,White,"Searcy Medical Center Pharmacy, LLP",501-268-3311,2900 Hawkins Dr
Berryville,Carroll,Poynor Drug LLC,870-423-2737,408 Public Square
Little Rock,Pulaski,"D&D Pharmacy, LLC",501-747-1888,8908 Kanis Road
Little Rock,Pulaski,Wright Plastic Surgery,501-575-0088,1701 Centerview dt
Little Rock,Pulaski,Fresenius Kidney Care  Little Rock Dialysis,501-225-3890,10310 W. Markham
Benton,Saline,Smith Caldwell Drug,501-315-7700,414 N. Main Street
Carlisle,Lonoke,Lewis-Cook Drug Store Inc. dba (Medsker's Family Pharmacy),870-552-7837,121 North Court Street
Clarksville,Johnson,Marshall Medical Clinic,479-754-6777,3 Medicine Dr
Bismarck,Hot Spring,Frontier Pharmacy- Bismarck,501-214-6100,104 Millennium Park Drive
Conway,Faulkner,Amity Road Pharmacy,501-358-3863,810 Amity Road
Marmaduke,Greene,"Eddington Pharmaceuticals, Inc. dba/Marmaduke Family Pharm",870-597-2911,11901 Hwy. 49 North
White Hall,Jefferson,Daily Dose Drugstore,870-619-2959,103 Timber LN
Alma,Crawford,Coleman Pharmacy of Alma,479-262-2156,110 Fayetteville Ave
Wynne,Cross,Two Sisters Family Medical,870-587-0900,421 S Falls Blvd
Stuttgart,Arkansas,Buerkle Drug Company,870-673-1311,202 S Main St
Little Rock,Pulaski,Baptist Health Medical Towers Pharmacy,501-202-2460,9601 Baptist Health Dr
Hensley,Saline,Maple Creek Medical Clinic,501-261-7630,21019 Hwy 167
Little Rock,Pulaski,Barg Family Clinic,501-224-5220,11415 Executive Center Drive
Little Rock,Pulaski,Arkansas Primary Care Clinic,501-663-5221,6209 West 12th St
Bryant,Saline,Bryant Family Clinic,501-847-0082,507 W Commerce Street
bentonville,Benton,Lifespring womens healthcare,479-271-0005,1200 se 28th st
helena,Phillips,"Pillow Clinic, PLLC",870-572-5996,101 Shirley Hicks Dr
Fayetteville,Washington,UAMS Family Medical Center- Fayetteville,918-713-8000,1125 N. College Ave.
Little Rock,Pulaski,Applied Research Center of Arkansas/ ARC Express Clinic,501-954-7822,11524 North Rodney Parham
Paragould,Greene,Paragould Doctors Clinic,870-239-8503,4000 Linwood Drive
Hot Springs,Garland,"HOT SPRINGS PHARMACY, LLC",501-760-2444,1210 Airport Rd
Russellville,Pope,Conway Regional Medical Clinic-Russellville,501-253-8922,108 Skyline Drive
Pottsville,Pope,Conway Regional Medical Clinic-Pottsville,501-253-8922,5395 W. Ash St.
Clinton,Van Buren,Clinton Medical Clinic,501-253-8922,2526 Highway 65
Mayflower,Faulkner,Mayflower Medical Clinic,501-253-8922,606 Highway 365
Vo;pmoa,Faulkner,Conway Regional Medical Clinic-Vilonia,501-796-8484,1159 Main Street
Conway,Faulkner,Hendrix Medical Clinic,501-253-8922,1700 Altus Street
Conway,Faulkner,Conway Regional Prince Street Clinic,501-253-8922,1 Medical Lane
Conway,Faulkner,Greenbrier Family Medicine-Conway Regional,501-253-8922,110 N. Broadview
Conway,Faulkner,Conway Medical Group,501-253-8922,437 Denison Street
North Little Rock,Pulaski,North Hills Family Clinic PA,501-945-4200,4509 East McCain Blvd
Texarkana,Miller,Red River Pharmacy of Little Rock,903-792-1721,1550 Moores Ln
Fayetteville,Washington,"University of Arkansas, Pat Walker Health Center",479-575-4451,525 N. Garland Ave.
Little Rock,Pulaski,"MedExpress- Little Rock , Markham St",501-603-9885,5326 W.Markham St
Springdale,Washington,MedExpress Urgent Care-Springdale,479-750-2971,1160 S. 40th St
Searcy,White,Lowery Drug Mart #2,501-268-1900,123 Central Avenue
Manila,Arkansas,Wagner Medical Clinic,870-561-3300,3644 W AR 18
ARKADELPHIA,Clark,DEGRAY DIALYSIS,870-246-3021,312 PROFESSIONAL PARK DR
CAMDEN,Ouachita,OUACHITA VALLEY DIALYSIS,870-837-1330,1114 WASHINGTON ST NW
EL DORADO,Union,SOUTH ARKANSAS DIALYSIS,870-862-8788,620 W GROVE ST
HOT SPRINGS,Garland,OUACHITA DIALYSIS,501-624-0196,1900 MALVERN AVE
LITTLE ROCK,Pulaski,CENTRAL LITTLE ROCK DIALYSIS,501-664-6754,6 FREEWAY DR
EL DORADO,Union,EL DORADO ACUTES,870-863-2000,700 W GROVE ST
HOT SPRINGS,Garland,HOT SPRINGS DIALYSIS,501-624-0153,115 WRIGHTS ST
RUSSELLVILLE,Pope,RUSSELLVILLE ACUTES,479-968-2841,1808 W MAIN ST
MENA,Polk,MENA DIALYSIS CENTER,479-394-8085,1200 CRESTWOOD CIR
SPRINGDALE,Washington,SPRINGDALE DIALYSIS,479-927-1957,2070 MCKENZIE RD
BENTONVILLE,Benton,BENTONVILLE DIALYSIS,479-657-6220,1104 SE 30TH ST
RUSSELLVILLE,Pope,RIVER VALLEY DIALYSIS,479-968-4687,3121 W 2ND CT
FAYETTEVILLE,Washington,FAYETTEVILLE DIALYSIS,479-443-6688,509 E MILLSAP RD
NORTH LITTLE ROCK,Pulaski,NORTH LITTLE ROCK DIALYSIS CENTER,501-945-2323,4505 E MCCAIN BLVD
JACKSONVILLE,Pulaski,JACKSONVILLE CENTRAL DIALYSIS CENTER,501-241-1300,400 T P WHITE DR
HOT SPRING,Garland,HOT SPRINGS ACUTES,731-334-3245,1900 MALVERN AVE
LITTLE ROCK,Pulaski,LITTLE ROCK ACUTES,539-777-8440,2 SAINT VINCENT CIR
LITTLE ROCK,Pulaski,ARKANSAS ACUTES,539-777-8440,2 SAINT VINCENT CIR
MOUNTAIN HOME,Baxter,"RENAL CENTER OF MOUNTAIN HOME, LLC ACUTES",870-508-6500,624 HOSPITAL DR
MOUNTAIN HOME,Baxter,RENAL CENTER OF MOUNTAIN HOME,870-508-6500,200 E 8TH ST
NORTH LITTLE ROCK,Pulaski,DIAMOND STATE DIALYSIS,501-834-1393,9022 LANDERS RD
BENTONVILLE,Benton,BENTONVILLE AT HOME,479-657-6220,1104 SE 30TH ST
OSCEOLA,Mississippi,OSCEOLA DIALYSIS,870-563-4901,1332 W KEISER AVE
MARION,Crittenden,RENAL CARE OF MARION,870-735-4087,1120 STATE HIGHWAY 77
LITTLE ROCK,Pulaski,CENTRAL LITTLE ROCK AT HOME,501-664-6754,6 FREEWAY DR
